Species,Species_model,sla,lnm,lpm,CHELSA_bio10_1,CHELSA_bio10_4,CHELSA_bio10_12,CHELSA_bio10_15,PFTs,Realm,KG_classes,KG_classORD,Ancestral_DECJ_family,Ancestral_description_family
Miconia_elata,Miconia_elata,11.56385619,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,12.79554607,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,11.75977531,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,11.90557096,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,13.3191685,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,14.14927913,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,17.61596884,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,10.11375932,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_elata,Miconia_elata,9.445696182,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,18.15815851,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,15.70860228,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,21.18571429,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,18.73224267,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,19.0471531,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,12.39706865,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,12.12428862,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,15.34822657,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,13.67677992,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,17.4317316,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,19.38737669,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,21.77308459,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,21.03969166,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,18.26539101,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
