Species,Species_model,sla,lnm,lpm,CHELSA_bio10_1,CHELSA_bio10_4,CHELSA_bio10_12,CHELSA_bio10_15,PFTs,Realm,KG_classes,KG_classORD,Ancestral_DECJ_family,Ancestral_description_family
Poulsenia_armata,Poulsenia_armata,NA,20.5,1.284,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT6,Panamanian,Am,AFM,B,BShSk
Pourouma_bicolor,Pourouma_bicolor,NA,20.09749174,0.983,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,B,BShSk
Sterculia_apetala,Sterculia_apetala,NA,21.13,0.9115862,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,B,BShSk
Handroanthus_guayacan,Handroanthus_guayacan,NA,31.25,1.204,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,F,Dfad
Tapirira_guianensis,Tapirira_guianensis,NA,12.815,0.901,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,C,BWhWk
Trattinnickia_aspera,Trattinnickia_aspera,NA,17.89993525,0.5625215,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT6,Panamanian,Am,AFM,C,BWhWk
Virola_sebifera,Virola_sebifera,NA,20.49,0.7492787,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,D,Cfac
Terminalia_amazonia,Terminalia_amazonia,NA,17.01,1.13,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,B,BShSk
Aspidosperma_desmanthum,Aspidosperma_desmanthum,NA,17.4,0.77,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,A,Afw
Carapa_guianensis,Carapa_guianensis,NA,10.91806889,0.696,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,C,BWhWk
Erisma_blancoa,Erisma_blancoa,NA,12.57808745,0.4498,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,A,Afw
Sterculia_costaricana,Sterculia_costaricana,NA,14.615,0.7512,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT6,Panamanian,Am,AFM,B,BShSk
Virola_koschnyi,Virola_koschnyi,NA,13.01921666,0.845,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,D,Cfac
Cassipourea_guianensis,Cassipourea_guianensis,NA,17.2,0.9550191,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,B,BShSk
Zygia_ramiflora,Zygia_ramiflora,NA,33.94,1.111,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,A,Afw
Allophylus_camptostachys,Allophylus_camptostachys,9.345794393,11.29,1.28,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,C,BWhWk
Brosimum_alicastrum,Brosimum_alicastrum,15.72327044,21.32,1.3,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Bursera_simaruba,Bursera_simaruba,11.79245283,15.12,1.01,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,C,BWhWk
Capparis_baducca,Capparis_baducca,17.98561151,16.34,1,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Casearia_decandra,Casearia_decandra,15.92356688,20.94,0.84,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,E,Cwac
Cecropia_obtusifolia,Cecropia_obtusifolia,12.72264631,22.08,1.22,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Clarisia_biflora,Clarisia_biflora,9.407337723,21,1.14,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Coccoloba_barbadensis,Coccoloba_barbadensis,9.689922481,11.02,0.93,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,A,Afw
Cordia_megalantha,Cordia_megalantha,11.69590643,21.35,1.37,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,D,Cfac
Croton_schiedeanus,Croton_schiedeanus,15.26717557,19.15,1.54,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Cupania_dentata,Cupania_dentata,8.658008658,15.02,0.96,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,C,BWhWk
Cymbopetalum_baillonii,Cymbopetalum_baillonii,9.090909091,13.16,2.1,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,D,Cfac
Cynometra_retusa,Cynometra_retusa,7.733952049,11.8,0.94,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Dendropanax_arboreus,Dendropanax_arboreus,10.64962726,8.96,1.39,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Dialium_guianense,Dialium_guianense,12.09189843,16.88,1.17,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,A,Afw
Dussia_mexicana,Dussia_mexicana,12.25490196,15.84,1.34,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Faramea_occidentalis,Faramea_occidentalis,11.52073733,12.35,0.83,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,D,Cfac
Ficus_insipida,Ficus_insipida,9.56937799,17.25,1.26,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Guarea_glabra,Guarea_glabra,8.718395815,17.5,1.05,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,C,BWhWk
Guarea_guidonia,Guarea_guidonia,9.900990099,15.98,1.81,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,C,BWhWk
Hampea_nutricia,Hampea_nutricia,16.3132137,21.06,1.95,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Heliocarpus_appendiculatus,Heliocarpus_appendiculatus,19.30501931,21.16,1.69,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Lonchocarpus_guatemalensis,Lonchocarpus_guatemalensis,10.28806584,24.76,1.12,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,A,Afw
Lunania_mexicana,Lunania_mexicana,18.18181818,14.99,1.55,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,E,Cwac
Mortoniodendron_guatemalense,Mortoniodendron_guatemalense,10.09081736,15.14,0.86,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Omphalea_oleifera,Omphalea_oleifera,14.22475107,25.31,2.31,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,A,Afw
Orthion_oblanceolatum,Orthion_oblanceolatum,14.32664756,15.91,2.59,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Piper_amalago,Piper_amalago,15.22070015,21.25,1.41,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Pleuranthodendron_lindenii,Pleuranthodendron_lindenii,10.01001001,13.9,1.22,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,E,Cwac
Poulsenia_armata,Poulsenia_armata,8.503401361,16.7,2.02,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,B,BShSk
Pouteria_durlandii,Pouteria_durlandii,7.716049383,15.87,0.7,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,I,EFT
Pseudolmedia_glabrata,Pseudolmedia_glabrata,11.58748552,10.36,0.68,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Palicourea_faxlucens,Palicourea_faxlucens,18.18181818,13.8,0.66,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,D,Cfac
Psychotria_flava,Psychotria_flava,9.107468124,10.91,0.69,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,D,Cfac
Psychotria_simiarum,Psychotria_simiarum,23.64066194,16.07,0.7,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,D,Cfac
Pterocarpus_rohrii,Pterocarpus_rohrii,10.44932079,18.72,1.73,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Quararibea_funebris,Quararibea_funebris,16.77852349,13.45,1.61,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Robinsonella_mirandae,Robinsonella_mirandae,16.66666667,19.52,1.81,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Sapranthus_microcarpus,Sapranthus_microcarpus,22.12389381,17.38,1.23,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,D,Cfac
Spondias_radlkoferi,Spondias_radlkoferi,13.88888889,14.18,1.12,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,C,BWhWk
Tabernaemontana_donnell-smithii,Tabernaemontana_donnell-smithii,18.79699248,22.43,1.2,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Trichilia_martiana,Trichilia_martiana,16.44736842,21.7,1.77,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,C,BWhWk
Trichospermum_mexicanum,Trichospermum_mexicanum,10.30927835,18.06,1.11,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,B,BShSk
Trophis_mexicana,Trophis_mexicana,15.67398119,16.85,1.14,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Turpinia_occidentalis,Turpinia_occidentalis,12.33045623,11.18,0.76,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,D,Cfac
Vatairea_lundellii,Vatairea_lundellii,11.57407407,15.54,0.76,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Vochysia_guatemalensis,Vochysia_guatemalensis,8.880994671,10.6,0.75,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Attalea_rostrata,Attalea_rostrata,11.9047619,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,D,Cfac
Attalea_rostrata,Attalea_rostrata,23.80952381,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,D,Cfac
Socratea_exorrhiza,Socratea_exorrhiza,12.65822785,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,D,Cfac
Socratea_exorrhiza,Socratea_exorrhiza,22.22222222,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,D,Cfac
Drimys_winteri,Drimys_winteri,7.246376812,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,A,Afw
Drimys_winteri,Drimys_winteri,11.23595506,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,A,Afw
Quercus_copeyensis,Quercus_copeyensis,10.1010101,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,E,Cwac
Quercus_copeyensis,Quercus_copeyensis,16.39344262,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,E,Cwac
Quercus_costaricensis,Quercus_costaricensis,10.20408163,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,E,Cwac
Schefflera_rodriguesiana,Schefflera_rodriguesiana,11.23595506,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,B,BShSk
Schefflera_rodriguesiana,Schefflera_rodriguesiana,14.92537313,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,B,BShSk
Weinmannia_pinnata,Weinmannia_pinnata,9.615384615,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,E,Cwac
Weinmannia_pinnata,Weinmannia_pinnata,16.94915254,NA,NA,-0.6008827390413654,-1.2201867041818546,1.4748660302861194,0.7393633924604026,PFT4,Panamanian,Cfb,Cf,E,Cwac
Coussapoa_villosa,Coussapoa_villosa,12.557,NA,NA,1.2742946844414373,-1.1563274422730123,0.23292633749561853,0.9057095607365877,PFT5,Panamanian,Aw,ASW,B,BShSk
Coussapoa_villosa,Coussapoa_villosa,9.702,NA,NA,1.2742946844414373,-1.1563274422730123,0.23292633749561853,0.9057095607365877,PFT5,Panamanian,Aw,ASW,B,BShSk
Ficus_aurea,Ficus_aurea,30.819,NA,NA,0.42084854939477706,-1.1712732269750818,1.5199727987894063,0.9888826448746804,PFT4,Panamanian,Af,AFM,B,BShSk
Ficus_aurea,Ficus_aurea,10.257,NA,NA,0.42084854939477706,-1.1712732269750818,1.5199727987894063,0.9888826448746804,PFT4,Panamanian,Af,AFM,B,BShSk
Cosmibuena_macrocarpa,Cosmibuena_macrocarpa,6.896551724,10,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,D,Cfac
Coussapoa_villosa,Coussapoa_villosa,9.615384615,15,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,B,BShSk
Clusia_flavida,Clusia_flavida,7.462686567,10,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,B,BShSk
Annona_glabra,Annona_glabra,9.737098345,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,D,Cfac
Citharexylum_macradenium,Citharexylum_macradenium,9.6,NA,NA,0.4569096536925233,-1.185675528597076,1.4087094364812984,0.24032488763184703,PFT4,Panamanian,Cfb,Cf,F,Dfad
Croton_draco,Croton_draco,16.1,NA,NA,0.4569096536925233,-1.185675528597076,1.4087094364812984,0.24032488763184703,PFT4,Panamanian,Cfb,Cf,A,Afw
Dendropanax_arboreus,Dendropanax_arboreus,4.9,NA,NA,0.4569096536925233,-1.185675528597076,1.4087094364812984,0.24032488763184703,PFT4,Panamanian,Cfb,Cf,B,BShSk
Ficus_macbridei,Ficus_macbridei,6.2,NA,NA,0.4569096536925233,-1.185675528597076,1.4087094364812984,0.24032488763184703,PFT4,Panamanian,Cfb,Cf,B,BShSk
Inga_punctata,Inga_punctata,8.9,NA,NA,0.4569096536925233,-1.185675528597076,1.4087094364812984,0.24032488763184703,PFT4,Panamanian,Cfb,Cf,A,Afw
Pentaclethra_macroloba,Pentaclethra_macroloba,14.49275362,NA,NA,1.1781317396474473,-1.2139366487609893,2.5123217058617193,-0.17554053305861592,PFT4,Panamanian,Af,AFM,A,Afw
Pentaclethra_macroloba,Pentaclethra_macroloba,27.02702703,NA,NA,1.1781317396474473,-1.2139366487609893,2.5123217058617193,-0.17554053305861592,PFT4,Panamanian,Af,AFM,A,Afw
Pentaclethra_macroloba,Pentaclethra_macroloba,39.5256917,NA,NA,1.1781317396474473,-1.2139366487609893,2.5123217058617193,-0.17554053305861592,PFT4,Panamanian,Af,AFM,A,Afw
Cedrela_odorata,Cedrela_odorata,NA,27.9,1.7,1.238233580143691,-1.2152953564611775,1.8868411826161402,-0.2587136171967085,PFT6,Panamanian,Af,AFM,C,BWhWk
Cedrela_odorata,Cedrela_odorata,NA,23.4,2.6,1.238233580143691,-1.2152953564611775,1.8868411826161402,-0.2587136171967085,PFT6,Panamanian,Af,AFM,C,BWhWk
Cordia_alliodora,Cordia_alliodora,NA,33.2,2,1.238233580143691,-1.2152953564611775,1.8868411826161402,-0.2587136171967085,PFT6,Panamanian,Af,AFM,D,Cfac
Cordia_alliodora,Cordia_alliodora,NA,25.9,2.7,1.238233580143691,-1.2152953564611775,1.8868411826161402,-0.2587136171967085,PFT6,Panamanian,Af,AFM,D,Cfac
Comarostaphylis_arbutoides,Comarostaphylis_arbutoides,NA,9.4,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Cornus_disciflora,Cornus_disciflora,NA,11.2,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT6,Panamanian,Cfb,Cf,E,Cwac
Garrya_laurifolia,Garrya_laurifolia,NA,8.6,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,D,Cfac
Myrsine_coriacea,Myrsine_coriacea,NA,16.8,1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,D,Cfac
Oreopanax_xalapensis,Oreopanax_xalapensis,NA,16.8,1.2,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Saurauia_montana,Saurauia_montana,NA,21.3,1.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Symplocos_serrulata,Symplocos_serrulata,NA,NA,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Comarostaphylis_arbutoides,Comarostaphylis_arbutoides,NA,11.8,1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Cornus_disciflora,Cornus_disciflora,NA,9,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT6,Panamanian,Cfb,Cf,E,Cwac
Escallonia_myrtilloides,Escallonia_myrtilloides,NA,10.1,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Myrsine_coriacea,Myrsine_coriacea,NA,12.8,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,D,Cfac
Oreopanax_xalapensis,Oreopanax_xalapensis,NA,13.6,1.1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Symplocos_serrulata,Symplocos_serrulata,NA,12.5,NA,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Myrsine_coriacea,Myrsine_coriacea,NA,11.5,1.1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,D,Cfac
Oreopanax_xalapensis,Oreopanax_xalapensis,NA,12.3,0.6,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Saurauia_montana,Saurauia_montana,NA,10.5,1.1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Drimys_granadensis,Drimys_granadensis,NA,8.8,0.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Miconia_schnellii,Miconia_schnellii,NA,NA,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Miconia_tonduzii,Miconia_tonduzii,NA,10.1,1.1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Nectandra_cufodontisii,Nectandra_cufodontisii,NA,10.4,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Ocotea_pittieri,Ocotea_pittieri,NA,11.8,1.1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Ardisia_costaricensis,Ardisia_costaricensis,NA,8.7,0.6,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,D,Cfac
Drimys_granadensis,Drimys_granadensis,NA,5.4,0.6,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Miconia_tonduzii,Miconia_tonduzii,NA,10.5,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Nectandra_cufodontisii,Nectandra_cufodontisii,NA,10,0.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Ocotea_pittieri,Ocotea_pittieri,NA,14.7,1.4,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Oreopanax_capitatus,Oreopanax_capitatus,NA,12.6,1.2,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Quercus_copeyensis,Quercus_copeyensis,NA,15.3,0.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Quercus_costaricensis,Quercus_costaricensis,NA,11.6,1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Styrax_argenteus,Styrax_argenteus,NA,11.4,0.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Viburnum_costaricanum,Viburnum_costaricanum,NA,11.4,0.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,F,Dfad
Weinmannia_pinnata,Weinmannia_pinnata,NA,9.5,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Zanthoxylum_capense,Zanthoxylum_capense,NA,10.8,0.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,C,BWhWk
Oreopanax_capitatus,Oreopanax_capitatus,NA,10.7,1.6,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Quercus_copeyensis,Quercus_copeyensis,NA,11.5,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Quercus_costaricensis,Quercus_costaricensis,NA,16.5,1.5,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Schefflera_rodriguesiana,Schefflera_rodriguesiana,NA,14,1.3,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Styrax_argenteus,Styrax_argenteus,NA,12.7,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Viburnum_costaricanum,Viburnum_costaricanum,NA,11.3,1.1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,F,Dfad
Weinmannia_pinnata,Weinmannia_pinnata,NA,9,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Zanthoxylum_capense,Zanthoxylum_capense,NA,NA,NA,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,C,BWhWk
Oreopanax_capitatus,Oreopanax_capitatus,NA,14.5,2.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Oreopanax_nubigenus,Oreopanax_nubigenus,NA,9,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Prunus_annularis,Prunus_annularis,NA,NA,0.7,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT6,Panamanian,Cfb,Cf,B,BShSk
Quercus_copeyensis,Quercus_copeyensis,NA,14.4,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Quercus_costaricensis,Quercus_costaricensis,NA,12,0.9,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,E,Cwac
Schefflera_rodriguesiana,Schefflera_rodriguesiana,NA,11.2,1,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
Styrax_argenteus,Styrax_argenteus,NA,12.5,0.8,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,A,Afw
Symplocos_austin-smithii,Symplocos_austin-smithii,NA,9.3,0.6,-0.6850253157361065,-1.2196432211017794,2.40707257935405,0.3234979717699396,PFT4,Panamanian,Cfb,Cf,B,BShSk
